Reported Date,Total Dead and Missing,Location Coordinates
1970-05-29,1.0,"-34.6025, -58.3975"
1970-06-02,1.0,"41.5189, -88.1499"
1970-06-07,1.0,"31.95, 35.9333"
1970-06-09,1.0,"40.7245, -74.1725"
1970-06-09,1.0,"40.0705, -82.4251"
1970-06-09,1.0,"37.5204, -122.0312"
1970-06-09,1.0,"39.6776, -75.7573"
1970-06-09,1.0,"43.0418, -77.093"
1970-06-10,1.0,"31.95, 35.9333"
1970-06-11,1.0,"-22.925, -43.225"
1970-06-12,1.0,"30.05, 31.25"
1970-06-12,1.0,"30.879, -84.205"
1970-06-12,1.0,"42.2965, -74.0205"
1970-06-13,20.0,"41.5725, -93.6105"
1970-06-13,20.0,"47.3914, -122.3154"
1970-06-17,3.0,"37.8382, -122.2932"
1970-06-19,1.0,"41.8373, -87.6862"
1970-06-19,1.0,"37.7562, -122.443"
1970-06-19,1.0,"13.7, -88.1"
1970-06-19,1.0,"-31.43, -62.09"
1970-06-27,4.0,"54.6, -5.96"
1970-06-27,4.0,"54.5968, -5.9254"
1970-06-28,3.0,"42.3834, -83.1024"
1970-06-30,2.0,"40.6154, -74.4157"
1970-06-30,2.0,"41.6205, -88.226"
1970-06-30,2.0,"39.6956, -86.3708"
1970-06-30,2.0,"41.6992, -71.8987"
1970-07-02,1.0,"33.893, -118.2275"
1970-07-04,1.0,"37.7562, -122.443"
1970-07-04,1.0,"13.7, -88.1"
1970-07-04,1.0,"-31.43, -62.09"
1970-07-11,4.0,"41.6697, -70.9428"
1970-07-17,2.0,"41.8373, -87.6862"
1970-07-26,1.0,"38.6358, -90.2451"
1970-07-26,1.0,"43.4082, -84.6118"
1970-07-31,1.0,"-34.858, -56.1711"
1970-07-31,1.0,"44.9505, -95.7154"
1970-08-06,1.0,"37.3021, -121.8489"
1970-08-06,1.0,"10.745, 121.9415"
1970-08-06,1.0,"10.18, 125.5683"
1970-08-07,6.0,"-34.6, -68.3333"
1970-08-07,6.0,"37.9904, -122.5222"
1970-08-07,6.0,"-16.7795, -60.68"
1970-08-15,1.0,"41.122, -112.0995"
1970-08-15,1.0,"33.6064, -88.6571"
1970-08-15,1.0,"41.3646, -74.0135"
1970-08-17,8.0,"41.2628, -96.0498"
1970-08-17,1.0,"44.9635, -93.2678"
1970-08-20,1.0,"37.8723, -122.276"
1970-08-20,1.0,"39.9149, -74.1912"
1970-08-20,1.0,"38.7438, -90.3361"
1970-08-20,1.0,"41.8891, -87.9114"
1970-08-22,1.0,"44.9477, -93.104"
1970-08-24,5.0,"43.0827, -89.3923"
1970-08-24,5.0,"34.7114, -86.7626"
1970-08-24,5.0,"32.4738, -90.13"
1970-08-24,5.0,"41.3398, -72.6278"
1970-08-24,5.0,"38.758, -85.3971"
1970-08-24,5.0,"40.7586, -74.417"
1970-08-24,5.0,"44.0062, -97.1084"
1970-09-02,2.0,"37.9833, 23.7333"
1970-09-02,2.0,"33.9508, -83.3689"
1970-09-02,2.0,"39.3269, -82.0987"
1970-09-02,2.0,"34.7847, -86.951"
1970-09-02,2.0,"35.4573, -84.6045"
1970-09-02,2.0,"32.2041, -95.8321"
1970-09-06,1.0,"52.35, 4.9166"
1970-09-06,1.0,"42.942, -74.1907"
1970-09-18,2.0,"-32.9511, -60.6663"
1970-09-18,2.0,"41.6639, -83.5822"
1970-09-18,2.0,"39.867, -4.0167"
1970-09-23,1.0,"50.8303, -0.17"
1970-09-23,1.0,"39.9716, -104.7964"
1970-09-23,1.0,"43.1175, -77.5835"
1970-09-23,1.0,"42.5298, -83.7847"
1970-10-10,1.0,"35.6719, 51.4243"
1970-10-15,2.0,"39.1239, -94.5541"
1970-10-15,2.0,"39.1234, -94.7443"
1970-10-24,1.0,"42.3834, -83.1024"
1970-10-24,2.0,"30.05, 31.25"
1970-10-24,2.0,"30.879, -84.205"
1970-10-24,2.0,"42.2965, -74.0205"
1970-10-25,1.0,"38.9047, -77.0163"
1970-10-25,1.0,"37.1325, -113.4893"
1970-10-25,1.0,"40.7048, -89.4345"
1970-10-25,1.0,"35.5587, -77.0546"
1970-10-25,1.0,"40.7587, -74.9825"
1970-10-25,1.0,"38.5514, -91.0151"
1970-10-25,1.0,"40.1739, -80.2465"
1970-10-25,1.0,"38.6592, -87.1721"
1970-10-25,1.0,"41.2982, -91.6928"
1970-10-27,1.0,"-34.6025, -58.3975"
1970-11-01,24.0,"24.87, 66.99"
1970-11-01,1.0,"40.9956, -80.3458"
1970-11-01,1.0,"39.919, -85.3697"
1970-11-01,1.0,"41.1842, -73.7726"
1970-11-01,1.0,"39.5785, -107.5262"
1970-11-01,1.0,"39.6685, -75.5692"
1970-11-08,1.0,"30.05, 31.25"
1970-11-08,1.0,"30.879, -84.205"
1970-11-08,1.0,"42.2965, -74.0205"
1970-11-15,1.0,"-34.6025, -58.3975"
1970-11-15,2.0,"27.793, -82.6652"
1970-11-21,1.0,"45.5371, -122.65"
1970-11-21,1.0,"43.6773, -70.2715"
1970-11-21,1.0,"27.8913, -97.328"
1970-11-21,1.0,"36.5883, -86.5194"
1970-11-21,1.0,"-38.34, 141.59"
1970-11-21,1.0,"40.4377, -84.9835"
1970-11-21,1.0,"42.8696, -84.899"
1970-11-21,1.0,"41.5988, -72.589"
1970-12-07,1.0,"-22.925, -43.225"
1970-12-11,3.0,"42.7003, -71.1626"
1970-12-11,3.0,"38.9598, -95.2641"
1970-12-11,3.0,"39.8674, -85.9904"
1970-12-11,3.0,"40.2954, -74.7205"
1970-12-11,3.0,"40.6042, -73.7149"
1970-12-27,1.0,"38.996, -76.9337"
1970-12-27,1.0,"33.6364, -84.464"
1970-12-29,1.0,"39.9272, 32.8644"
1971-01-11,1.0,"-34.858, -56.1711"
1971-01-11,1.0,"44.9505, -95.7154"
1971-01-13,1.0,"37.7562, -122.443"
1971-01-13,1.0,"13.7, -88.1"
1971-01-13,1.0,"-31.43, -62.09"
1971-01-29,1.0,"34.1139, -118.4068"
1971-02-20,1.0,"25.7839, -80.2102"
1971-02-20,1.0,"36.8877, -94.8718"
1971-03-08,10.0,"38.6358, -90.2451"
1971-03-08,10.0,"43.4082, -84.6118"
1971-04-02,2.0,"33.9381, -117.3948"
1971-04-02,2.0,"40.0358, -74.9564"
1971-04-02,2.0,"39.7836, -84.1219"
1971-04-02,2.0,"41.831, -87.8169"
1971-04-02,2.0,"41.0319, -73.5827"
1971-04-02,2.0,"39.4777, -76.2385"
1971-04-03,1.0,"42.2437, -83.6205"
1971-04-07,1.0,"35.6719, 51.4243"
1971-04-07,3.0,"59.3508, 18.0973"
1971-04-11,3.0,"-34.9096, -57.96"
1971-04-11,3.0,"38.5352, -76.9701"
1971-04-19,3.0,"-31.55, -68.52"
1971-04-19,3.0,"18.4037, -66.0636"
1971-04-19,3.0,"18.807, -71.229"
1971-04-19,3.0,"14.6, 121.0333"
1971-04-19,3.0,"26.1903, -98.152"
1971-04-29,1.0,"-26.8695, -58.3"
1971-04-29,1.0,"37.8723, -122.276"
1971-04-29,1.0,"39.9149, -74.1912"
1971-04-29,1.0,"38.7438, -90.3361"
1971-04-29,1.0,"41.8891, -87.9114"
1971-05-06,2.0,"33.9146, -118.3476"
1971-05-06,2.0,"40.9579, -74.1581"
1971-05-13,3.0,"41.8373, -87.6862"
1971-05-17,1.0,"41.105, 29.01"
1971-05-29,3.0,"30.05, 31.25"
1971-05-29,3.0,"30.879, -84.205"
1971-05-29,3.0,"42.2965, -74.0205"
1971-08-15,1.0,"36.0713, -94.166"
1971-08-15,1.0,"35.0846, -78.9776"
1971-08-15,1.0,"33.45, -84.4709"
1971-08-15,1.0,"35.149, -86.5634"
1971-08-15,1.0,"33.7627, -84.4225"
1971-08-15,1.0,"33.1136, -94.1672"
1971-08-15,1.0,"41.8364, -72.4606"
1971-08-15,1.0,"41.1973, -74.4859"
1971-08-15,1.0,"34.148, -99.3"
1971-08-28,2.0,"37.7562, -122.443"
1971-08-28,2.0,"13.7, -88.1"
1971-08-28,2.0,"-31.43, -62.09"
1971-08-29,1.0,"37.7562, -122.443"
1971-08-29,1.0,"13.7, -88.1"
1971-08-29,1.0,"-31.43, -62.09"
1971-09-16,12.0,"31.7784, 35.2066"
1971-09-18,1.0,"40.6154, -74.4157"
1971-09-18,1.0,"41.6205, -88.226"
1971-09-18,1.0,"39.6956, -86.3708"
1971-09-18,1.0,"41.6992, -71.8987"
1971-11-03,1.0,"33.7627, -84.4225"
1971-11-03,1.0,"33.1136, -94.1672"
1971-11-17,27.0,"35.2335, -97.3471"
1971-11-28,1.0,"30.05, 31.25"
1971-11-28,1.0,"30.879, -84.205"
1971-11-28,1.0,"42.2965, -74.0205"
1971-12-15,1.0,"51.5, -0.1167"
1971-12-15,1.0,"42.97, -81.25"
1971-12-15,1.0,"37.1209, -84.0804"
1971-12-15,1.0,"39.8936, -83.4375"
1971-12-15,3.0,"46.21, 6.14"
1971-12-15,3.0,"42.8644, -76.9827"
1971-12-15,3.0,"41.8833, -88.3242"
1971-12-15,3.0,"41.8006, -80.9462"
1972-02-01,24.0,"54.6, -5.96"
1972-02-01,24.0,"54.5968, -5.9254"
1972-02-01,1.0,"32.3163, -90.2124"
1972-02-01,1.0,"42.2431, -84.4037"
1972-02-01,1.0,"35.6536, -88.8353"
1972-02-01,1.0,"40.098, -74.3579"
1972-02-01,1.0,"37.3794, -89.6525"
1972-02-01,1.0,"43.4721, -110.7745"
1972-02-01,1.0,"39.046, -82.6493"
1972-02-01,1.0,"38.3485, -120.7728"
1972-02-01,1.0,"43.3244, -88.1668"
1972-02-01,1.0,"33.292, -83.9678"
1972-02-05,1.0,"-22.925, -43.225"
1972-03-04,132.0,"54.6, -5.96"
1972-03-04,132.0,"54.5968, -5.9254"
1972-03-06,56.0,"54.6, -5.96"
1972-03-06,56.0,"54.5968, -5.9254"
1972-03-21,1.0,"-34.6025, -58.3975"
1972-04-10,1.0,"-32.9511, -60.6663"
1972-04-18,1.0,"33.888, -118.1271"
1972-03-15,1.0,"45.47, 9.205"
1972-03-15,1.0,"42.0815, -83.6854"
1972-03-15,1.0,"35.9126, -88.7554"
1972-03-15,1.0,"41.4416, -90.5595"
1972-05-07,3.0,"39.9272, 32.8644"
1972-05-08,9.0,"48.2, 16.3666"
1972-05-08,9.0,"38.8996, -77.2597"
1972-05-08,9.0,"39.3238, -81.5383"
1972-05-08,9.0,"43.2344, -75.7777"
1972-05-09,1.0,"37.3021, -121.8489"
1972-05-09,1.0,"10.745, 121.9415"
1972-05-09,1.0,"10.18, 125.5683"
1972-05-11,14.0,"50.1, 8.675"
1972-05-12,1.0,"48.1299, 11.575"
1972-05-15,1.0,"49.0, 8.4"
1972-05-15,1.0,"37.4686, -122.1672"
1972-05-19,24.0,"53.55, 10.0"
1972-05-19,24.0,"42.7233, -78.8348"
1972-05-24,9.0,"49.42, 8.7"
1972-05-27,1.0,"40.7161, -74.0683"
1972-05-31,1.0,"35.6719, 51.4243"
1972-05-31,3.0,"35.6719, 51.4243"
1972-06-15,81.0,"13.9833, 108.0"
1972-07-17,1.0,"40.8751, -74.0293"
1972-08-16,4.0,"41.896, 12.4833"
1972-08-16,4.0,"34.2662, -85.1862"
1972-08-16,4.0,"43.226, -75.491"
1972-09-27,1.0,"11.55, 104.9166"
1972-09-11,1.0,"50.8333, 4.3333"
1972-09-19,2.0,"51.5, -0.1167"
1972-09-19,2.0,"42.97, -81.25"
1972-09-19,2.0,"37.1209, -84.0804"
1972-09-19,2.0,"39.8936, -83.4375"
1972-10-16,1.0,"-34.6025, -58.3975"
1972-10-22,2.0,"41.105, 29.01"
1972-10-25,5.0,"32.6998, -97.1251"
1972-10-25,5.0,"38.8786, -77.1011"
1972-10-25,5.0,"42.4187, -71.1639"
1972-10-25,5.0,"48.1697, -122.1446"
1972-10-25,5.0,"35.2594, -89.668"
1972-10-26,1.0,"29.7869, -95.3905"
1972-11-02,3.0,"41.65, -0.89"
1972-11-03,1.0,"31.95, 35.9333"
1972-11-03,1.0,"31.95, 35.9333"
1972-11-13,1.0,"48.8667, 2.3333"
1972-11-13,1.0,"33.6689, -95.5462"
1972-11-13,1.0,"38.2016, -84.2719"
1972-11-13,1.0,"36.2933, -88.3065"
1972-11-13,1.0,"39.6148, -87.6905"
1972-11-13,1.0,"44.2445, -70.4883"
1972-11-24,1.0,"50.1, 8.675"
1972-12-08,1.0,"-27.455, 153.0351"
1972-12-27,1.0,"-34.6025, -58.3975"
1972-12-31,4.0,"30.0687, -89.9288"
1973-01-07,28.0,"30.0687, -89.9288"
1973-01-18,9.0,"38.9047, -77.0163"
1973-01-18,9.0,"37.1325, -113.4893"
1973-01-18,9.0,"40.7048, -89.4345"
1973-01-18,9.0,"35.5587, -77.0546"
1973-01-18,9.0,"40.7587, -74.9825"
1973-01-18,9.0,"38.5514, -91.0151"
1973-01-18,9.0,"40.1739, -80.2465"
1973-01-18,9.0,"38.6592, -87.1721"
1973-01-18,9.0,"41.2982, -91.6928"
1973-01-26,1.0,"40.4, -3.6834"
1973-01-27,2.0,"34.1139, -118.4068"
1973-02-14,1.0,"-34.6025, -58.3975"
1973-03-02,3.0,"41.3833, 2.1834"
1973-03-02,3.0,"10.1304, -64.72"
1973-03-08,239.0,"51.5, -0.1167"
1973-03-08,239.0,"42.97, -81.25"
1973-03-08,239.0,"37.1209, -84.0804"
1973-03-08,239.0,"39.8936, -83.4375"
1973-04-09,1.0,"35.1667, 33.3666"
1973-04-09,1.0,"41.896, 12.4833"
1973-04-09,1.0,"34.2662, -85.1862"
1973-04-09,1.0,"43.226, -75.491"
1973-04-09,1.0,"35.1667, 33.3666"
1973-04-22,1.0,"54.6, -5.96"
1973-04-22,1.0,"54.5968, -5.9254"
1973-04-27,1.0,"41.896, 12.4833"
1973-04-27,1.0,"34.2662, -85.1862"
1973-04-27,1.0,"43.226, -75.491"
1973-04-30,1.0,"-34.6025, -58.3975"
1973-05-01,1.0,"40.4, -3.6834"
1973-05-01,1.0,"34.5167, 69.1833"
1973-05-19,2.0,"40.9136, -73.8291"
1973-05-19,2.0,"48.4202, -122.3116"
1973-05-19,2.0,"40.3854, -82.4732"
1973-05-19,2.0,"38.314, -88.9174"
1973-05-19,2.0,"38.714, -77.1043"
1973-05-19,2.0,"37.9364, -87.8955"
1973-05-19,2.0,"41.923, -91.4244"
1973-05-21,2.0,"-34.6025, -58.3975"
1973-05-23,1.0,"-34.6025, -58.3975"
1973-06-02,1.0,"35.6719, 51.4243"
1973-06-02,1.0,"54.6, -5.96"
1973-06-02,1.0,"54.5968, -5.9254"
1973-06-28,1.0,"48.8667, 2.3333"
1973-06-28,1.0,"33.6689, -95.5462"
1973-06-28,1.0,"38.2016, -84.2719"
1973-06-28,1.0,"36.2933, -88.3065"
1973-06-28,1.0,"39.6148, -87.6905"
1973-06-28,1.0,"44.2445, -70.4883"
1973-07-01,1.0,"38.9866, -77.1188"
1973-07-20,2.0,"52.35, 4.9166"
1973-07-20,2.0,"42.942, -74.1907"
1973-07-25,1.0,"-27.46, -58.99"
1973-08-04,8.0,"44.8186, 20.468"
1973-08-04,8.0,"45.7796, -111.1751"
1973-08-05,60.0,"37.9833, 23.7333"
1973-08-05,60.0,"33.9508, -83.3689"
1973-08-05,60.0,"39.3269, -82.0987"
1973-08-05,60.0,"34.7847, -86.951"
1973-08-05,60.0,"35.4573, -84.6045"
1973-08-05,60.0,"32.2041, -95.8321"
1973-08-27,1.0,"38.9047, -77.0163"
1973-08-27,1.0,"37.1325, -113.4893"
1973-08-27,1.0,"40.7048, -89.4345"
1973-08-27,1.0,"35.5587, -77.0546"
1973-08-27,1.0,"40.7587, -74.9825"
1973-08-27,1.0,"38.5514, -91.0151"
1973-08-27,1.0,"40.1739, -80.2465"
1973-08-27,1.0,"38.6592, -87.1721"
1973-08-27,1.0,"41.2982, -91.6928"
1973-08-28,1.0,"-34.9096, -57.96"
1973-08-28,1.0,"38.5352, -76.9701"
1973-08-28,1.0,"38.9047, -77.0163"
1973-08-28,1.0,"37.1325, -113.4893"
1973-08-28,1.0,"40.7048, -89.4345"
1973-08-28,1.0,"35.5587, -77.0546"
1973-08-28,1.0,"40.7587, -74.9825"
1973-08-28,1.0,"38.5514, -91.0151"
1973-08-28,1.0,"40.1739, -80.2465"
1973-08-28,1.0,"38.6592, -87.1721"
1973-08-28,1.0,"41.2982, -91.6928"
1973-09-04,1.0,"40.7245, -74.1725"
1973-09-04,1.0,"40.0705, -82.4251"
1973-09-04,1.0,"37.5204, -122.0312"
1973-09-04,1.0,"39.6776, -75.7573"
1973-09-04,1.0,"43.0418, -77.093"
1973-09-06,1.0,"-34.6025, -58.3975"
1973-09-11,2.0,"-15.4166, 28.2833"
1973-09-11,1.0,"-34.6025, -58.3975"
1973-09-17,2.0,"-4.3297, 15.315"
1973-09-17,1.0,"38.7227, -9.1449"
1973-09-17,1.0,"40.7752, -80.7628"
1973-09-17,1.0,"44.0265, -70.09"
1973-09-18,2.0,"40.536, -74.3697"
1973-09-24,1.0,"-34.6025, -58.3975"
1973-10-01,15.0,"-22.925, -43.225"
1973-10-05,1.0,"-34.6025, -58.3975"
1973-10-10,1.0,"20.67, -103.33"
1973-10-10,1.0,"40.6337, -3.1666"
1973-10-14,1.0,"-32.9511, -60.6663"
1973-10-18,4.0,"33.872, 35.5097"
1973-10-18,2.0,"40.7245, -74.1725"
1973-10-18,2.0,"40.0705, -82.4251"
1973-10-18,2.0,"37.5204, -122.0312"
1973-10-18,2.0,"39.6776, -75.7573"
1973-10-18,2.0,"43.0418, -77.093"
1973-10-19,8.0,"3.1667, 101.7"
1973-10-20,2.0,"37.7562, -122.443"
1973-10-20,2.0,"13.7, -88.1"
1973-10-20,2.0,"-31.43, -62.09"
1973-10-22,1.0,"37.7562, -122.443"
1973-10-22,1.0,"13.7, -88.1"
1973-10-22,1.0,"-31.43, -62.09"
1973-10-29,1.0,"37.7562, -122.443"
1973-10-29,1.0,"13.7, -88.1"
1973-10-29,1.0,"-31.43, -62.09"
1973-11-06,1.0,"37.7903, -122.2165"
1973-11-06,1.0,"41.0314, -74.2408"
1973-11-06,1.0,"35.2256, -89.5372"
1973-11-06,1.0,"44.5595, -69.7328"
1973-11-21,1.0,"-34.6025, -58.3975"
1973-11-25,1.0,"37.7562, -122.443"
1973-11-25,1.0,"13.7, -88.1"
1973-11-25,1.0,"-31.43, -62.09"
1973-11-26,1.0,"34.009, -86.0156"
1973-12-04,20.0,"31.7784, 35.2066"
1973-12-11,1.0,"37.7562, -122.443"
1973-12-11,1.0,"13.7, -88.1"
1973-12-11,1.0,"-31.43, -62.09"
1973-12-13,1.0,"37.7562, -122.443"
1973-12-13,1.0,"13.7, -88.1"
1973-12-13,1.0,"-31.43, -62.09"
1973-12-13,1.0,"37.7562, -122.443"
1973-12-13,1.0,"13.7, -88.1"
1973-12-13,1.0,"-31.43, -62.09"
1973-12-17,2.0,"51.5, -0.1167"
1973-12-17,2.0,"42.97, -81.25"
1973-12-17,2.0,"37.1209, -84.0804"
1973-12-17,2.0,"39.8936, -83.4375"
1973-12-17,80.0,"41.896, 12.4833"
1973-12-17,80.0,"34.2662, -85.1862"
1973-12-17,80.0,"43.226, -75.491"
1973-12-18,34.0,"51.5, -0.1167"
1973-12-18,34.0,"42.97, -81.25"
1973-12-18,34.0,"37.1209, -84.0804"
1973-12-18,34.0,"39.8936, -83.4375"
1973-12-20,3.0,"40.4, -3.6834"
1973-12-20,1.0,"37.7562, -122.443"
1973-12-20,1.0,"13.7, -88.1"
1973-12-20,1.0,"-31.43, -62.09"
1973-12-20,1.0,"37.7562, -122.443"
1973-12-20,1.0,"13.7, -88.1"
1973-12-20,1.0,"-31.43, -62.09"
1973-12-22,1.0,"51.5, -0.1167"
1973-12-22,1.0,"42.97, -81.25"
1973-12-22,1.0,"37.1209, -84.0804"
1973-12-22,1.0,"39.8936, -83.4375"
1973-12-22,1.0,"37.7562, -122.443"
1973-12-22,1.0,"13.7, -88.1"
1973-12-22,1.0,"-31.43, -62.09"
1973-12-22,1.0,"37.7562, -122.443"
1973-12-22,1.0,"13.7, -88.1"
1973-12-22,1.0,"-31.43, -62.09"
1973-12-23,1.0,"37.7562, -122.443"
1973-12-23,1.0,"13.7, -88.1"
1973-12-23,1.0,"-31.43, -62.09"
1973-12-31,1.0,"51.5, -0.1167"
1973-12-31,1.0,"42.97, -81.25"
1973-12-31,1.0,"37.1209, -84.0804"
1973-12-31,1.0,"39.8936, -83.4375"
1974-04-18,1.0,"44.41, 8.93"
1974-04-18,1.0,"42.0929, -88.6966"
1974-01-06,1.0,"51.5, -0.1167"
1974-01-06,1.0,"42.97, -81.25"
1974-01-06,1.0,"37.1209, -84.0804"
1974-01-06,1.0,"39.8936, -83.4375"
1974-01-06,1.0,"51.5, -0.1167"
1974-01-06,1.0,"42.97, -81.25"
1974-01-06,1.0,"37.1209, -84.0804"
1974-01-06,1.0,"39.8936, -83.4375"
1974-01-19,7.0,"-36.7796, -59.87"
1974-01-21,1.0,"51.5, -0.1167"
1974-01-21,1.0,"42.97, -81.25"
1974-01-21,1.0,"37.1209, -84.0804"
1974-01-21,1.0,"39.8936, -83.4375"
1974-01-24,1.0,"51.5, -0.1167"
1974-01-24,1.0,"42.97, -81.25"
1974-01-24,1.0,"37.1209, -84.0804"
1974-01-24,1.0,"39.8936, -83.4375"
1974-01-28,1.0,"37.7562, -122.443"
1974-01-28,1.0,"13.7, -88.1"
1974-01-28,1.0,"-31.43, -62.09"
1974-01-28,1.0,"37.7562, -122.443"
1974-01-28,1.0,"13.7, -88.1"
1974-01-28,1.0,"-31.43, -62.09"
1974-01-28,1.0,"37.7562, -122.443"
1974-01-28,1.0,"13.7, -88.1"
1974-01-28,1.0,"-31.43, -62.09"
1974-01-28,1.0,"37.7562, -122.443"
1974-01-28,1.0,"13.7, -88.1"
1974-01-28,1.0,"-31.43, -62.09"
1974-01-28,1.0,"37.7562, -122.443"
1974-01-28,1.0,"13.7, -88.1"
1974-01-28,1.0,"-31.43, -62.09"
1974-02-01,1.0,"-24.6463, 25.9119"
1974-02-01,1.0,"48.8667, 2.3333"
1974-02-01,1.0,"33.6689, -95.5462"
1974-02-01,1.0,"38.2016, -84.2719"
1974-02-01,1.0,"36.2933, -88.3065"
1974-02-01,1.0,"39.6148, -87.6905"
1974-02-01,1.0,"44.2445, -70.4883"
1974-02-04,1.0,"51.5, -0.1167"
1974-02-04,1.0,"42.97, -81.25"
1974-02-04,1.0,"37.1209, -84.0804"
1974-02-04,1.0,"39.8936, -83.4375"
1974-02-04,1.0,"51.5, -0.1167"
1974-02-04,1.0,"42.97, -81.25"
1974-02-04,1.0,"37.1209, -84.0804"
1974-02-04,1.0,"39.8936, -83.4375"
1974-02-04,1.0,"51.5, -0.1167"
1974-02-04,1.0,"42.97, -81.25"
1974-02-04,1.0,"37.1209, -84.0804"
1974-02-04,1.0,"39.8936, -83.4375"
1974-02-23,1.0,"43.62, 1.4499"
1974-03-16,1.0,"33.872, 35.5097"
1974-03-22,1.0,"29.0989, -110.9541"
1974-03-25,1.0,"-34.6025, -58.3975"
1974-03-26,1.0,"37.7415, -121.1309"
1974-03-26,1.0,"43.8436, -88.8386"
1974-04-01,2.0,"37.7562, -122.443"
1974-04-01,2.0,"13.7, -88.1"
1974-04-01,2.0,"-31.43, -62.09"
1974-04-04,1.0,"-34.6025, -58.3975"
1974-04-04,1.0,"-34.6025, -58.3975"
1974-04-13,3.0,"14.8296, 120.2828"
1974-04-13,1.0,"25.7839, -80.2102"
1974-04-13,1.0,"36.8877, -94.8718"
1974-04-14,2.0,"37.7562, -122.443"
1974-04-14,2.0,"13.7, -88.1"
1974-04-14,2.0,"-31.43, -62.09"
1974-04-16,1.0,"37.7562, -122.443"
1974-04-16,1.0,"13.7, -88.1"
1974-04-16,1.0,"-31.43, -62.09"
1974-04-21,1.0,"43.25, -2.93"
1974-04-24,1.0,"15.3547, 44.2066"
1974-04-27,1.0,"19.4424, -99.131"
1974-04-28,1.0,"-34.6025, -58.3975"
1974-05-03,1.0,"41.3112, -72.9246"
1974-05-03,1.0,"41.0673, -85.0233"
1974-05-19,3.0,"51.5, -0.1167"
1974-05-19,3.0,"42.97, -81.25"
1974-05-19,3.0,"37.1209, -84.0804"
1974-05-19,3.0,"39.8936, -83.4375"
1974-05-22,1.0,"50.8333, 4.3333"
1974-06-11,5.0,"40.7674, -74.0323"
1974-06-11,5.0,"37.603, -122.0187"
1974-06-11,5.0,"33.5942, -84.5628"
1974-06-11,5.0,"36.4268, -89.0474"
1974-06-11,5.0,"40.1995, -84.8206"
1974-06-16,2.0,"-34.6025, -58.3975"
1974-06-17,11.0,"51.5, -0.1167"
1974-06-17,11.0,"42.97, -81.25"
1974-06-17,11.0,"37.1209, -84.0804"
1974-06-17,11.0,"39.8936, -83.4375"
1974-07-16,2.0,"53.5004, -2.248"
1974-07-16,2.0,"42.9848, -71.4447"
1974-07-16,2.0,"41.7753, -72.5242"
1974-07-16,2.0,"39.9651, -74.3738"
1974-07-16,2.0,"38.583, -90.5065"
